bodyId,type,instance,class,superclass,somaSide,sensory_group
518794,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
518887,JO-ED2_c,JO-ED2_c_L,mechanosensory,cb_sensory,,johnstons_organ
519153,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
519174,JO-ED2_a,JO-ED2_a_R,mechanosensory,cb_sensory,,johnstons_organ
519307,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
519458,JO-B1_a,JO-B1_a_R,mechanosensory,cb_sensory,,johnstons_organ
519875,JO-B1_a,JO-B1_a_L,mechanosensory,cb_sensory,,johnstons_organ
519933,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
520078,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
520189,JO-A3,JO-A3_L,mechanosensory,cb_sensory,,johnstons_organ
520630,JO-EV6,JO-EV6_R,mechanosensory,cb_sensory,,johnstons_organ
520657,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
520659,JO-CM,JO-CM_L,mechanosensory,cb_sensory,,johnstons_organ
